CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/01/19,9:25,BROOKLYN,11219,40.632435,-73.998405,"(40.632435, -73.998405)",12 AVENUE                       ,56 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4061127,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/01/19,2:25,,,,,,EAST 59 STREET                  ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4060621,Taxi,,,,
1/01/19,15:00,BRONX,10466,40.892624,-73.859924,"(40.892624, -73.859924)",,,645       EAST 231 STREET               ,0,0,0,0,0,0,0,0,Other Vehicular,Backing Unsafely,,,,4060650,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/01/19,16:06,QUEENS,11354,40.76465,-73.823494,"(40.76465, -73.823494)",PARSONS BOULEVARD               ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4060603,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/01/19,16:55,,,40.758602,-73.91379,"(40.758602, -73.91379)",45 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060703,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/01/19,5:20,BRONX,10473,40.81835,-73.84313,"(40.81835, -73.84313)",,,535       ZEREGA AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060765,Station Wagon/Sport Utility Vehicle,Flat Bed,,,
1/01/19,21:22,BRONX,10467,40.884014,-73.8791,"(40.884014, -73.8791)",DEKALB AVENUE                   ,EAST 212 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060870,Sedan,,,,
1/01/19,6:30,MANHATTAN,10029,40.79428,-73.94902,"(40.79428, -73.94902)",MADISON AVENUE                  ,EAST 107 STREET,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,4060501,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
1/01/19,0:00,,,40.68054,-73.88674,"(40.68054, -73.88674)",ARLINGTON AVENUE                ,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4060899,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
1/01/19,12:30,BROOKLYN,11232,40.650963,-74.00642,"(40.650963, -74.00642)",,,437       41 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060595,Sedan,Sedan,,,
1/01/19,13:35,BRONX,10467,40.865627,-73.86227,"(40.865627, -73.86227)",,,2701      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4060663,Sedan,Sedan,,,
1/01/19,2:30,MANHATTAN,10001,40.749706,-73.99157,"(40.749706, -73.99157)",7 AVENUE                        ,WEST 32 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4060450,Taxi,Pedicab,,,
1/01/19,17:30,QUEENS,11354,40.761547,-73.83113,"(40.761547, -73.83113)",MAIN STREET                     ,37 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Backing Unsafely,,,,4060715,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/01/19,8:25,,,40.764744,-73.86179,"(40.764744, -73.86179)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4060498,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/01/19,15:03,BRONX,10475,40.88226,-73.82782,"(40.88226, -73.82782)",TILLOTSON AVENUE                ,DELAVALL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4061049,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/01/19,5:34,QUEENS,11378,40.72433,-73.9034,"(40.72433, -73.9034)",,,61-27     56 ROAD                       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4061095,Sedan,Sedan,,,
1/01/19,11:25,BROOKLYN,11230,40.6249,-73.96403,"(40.6249, -73.96403)",,,1203      AVENUE J                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060885,Station Wagon/Sport Utility Vehicle,Sedan,,,
